shooting_type,age_group,race,sex,lat,lng
lethal,20-29,Black,Male,41.904889669,-87.719258547
lethal,0-19,Black,Male,41.7826705,-87.6204
lethal,0-19,Black,Male,41.769521654,-87.658804654
lethal,20-29,Black,Male,41.903421654,-87.733995346
lethal,30-39,Black,Male,41.973231654,-87.655505346
lethal,30-39,Black,Male,41.780378346,-87.674844654
lethal,30-39,Black,Male,41.8832005,-87.76346
lethal,40-49,Black,Female,41.8832005,-87.76346
lethal,30-39,Black,Male,41.7570005,-87.57475
lethal,30-39,Black,Male,41.895361654,-87.652324654
lethal,30-39,Black,Male,41.778586904,-87.683209059
lethal,30-39,Black,Female,41.890293096,-87.763250941
lethal,30-39,Black,Male,41.80924117,-87.74551728
lethal,40-49,Hispanic,Male,41.701568346,-87.543145346
lethal,20-29,Black,Male,41.783163096,-87.612199059
lethal,30-39,Black,Male,41.782791654,-87.661235346
lethal,20-29,Black,Female,41.884781654,-87.726075346
lethal,20-29,Black,Male,41.967238346,-87.662795346
lethal,20-29,Hispanic,Male,41.896079669,-87.700988547
lethal,30-39,White,Male,41.9217905,-87.77825
lethal,20-29,Hispanic,Male,41.972373096,-87.718889059
lethal,20-29,Hispanic,Male,41.968041654,-87.718914654
lethal,20-29,Black,Male,41.742013096,-87.554349059
lethal,20-29,Black,Male,41.888406904,-87.768780941
lethal,30-39,Black,Male,41.866263096,-87.721380941
lethal,40-49,Black,Male,41.768691654,-87.681454654
lethal,30-39,Black,Male,41.751999669,-87.585178547
lethal,40-49,Black,Male,41.866563096,-87.724290941
lethal,20-29,White,Male,41.8715705,-87.74511
lethal,20-29,Black,Male,41.768653096,-87.687240941
lethal,20-29,Hispanic,Male,41.972010596,-87.714513789
lethal,60-69,Other,Male,41.883573096,-87.686609059
lethal,50-59,Black,Male,41.865303096,-87.734119059
lethal,20-29,Black,Female,41.751436904,-87.584300941
lethal,20-29,Hispanic,Male,41.798856904,-87.632710941
lethal,20-29,Black,Male,41.7603605,-87.6745
lethal,40-49,Black,Male,41.766831654,-87.588495346
lethal,20-29,Black,Male,41.778398346,-87.633104654
lethal,20-29,Black,Male,41.889548346,-87.723184654
lethal,20-29,Black,Male,41.792349669,-87.669388547
lethal,40-49,Black,Male,41.877331654,-87.725845346
lethal,40-49,Black,Male,41.880411654,-87.727425346
lethal,40-49,Black,Male,41.7296505,-87.54459
lethal,30-39,Black,Male,41.773801279,-87.680628047
lethal,20-29,Black,Male,41.780616904,-87.689160941
lethal,20-29,Black,Male,41.688489669,-87.631378547
lethal,20-29,Black,Male,41.866673096,-87.715809059
lethal,30-39,Black,Male,41.969868346,-87.714915346
lethal,20-29,Black,Male,41.757343096,-87.586499059
lethal,20-29,Black,Male,41.751448346,-87.590055346
lethal,30-39,Black,Male,41.772993096,-87.589709059
lethal,0-19,Hispanic,Male,41.707025698,-87.533230011
lethal,40-49,Black,Male,41.764003096,-87.615659059
lethal,20-29,Black,Female,41.879323096,-87.738359059
lethal,20-29,Black,Male,41.881781654,-87.705564654
