shooting_type,age_group,race,sex,lat,lng
lethal,25,POC,Male,39.98789382,-75.11879573
nonlethal,15,POC,Male,39.97040166,-75.154219
nonlethal,10,POC,Female,39.97040166,-75.154219
nonlethal,18,POC,Male,39.99299279,-75.11362457
nonlethal,25,White,Male,40.00048167,-75.10504393
nonlethal,35,POC,Female,39.99383015,-75.12485199
nonlethal,25,POC,Male,39.98870271,-75.16229176
nonlethal,15,POC,Male,39.97297139,-75.15210458
nonlethal,30,White,Male,40.00645788,-75.0962892
nonlethal,20,POC,Male,39.99544792,-75.11774684
nonlethal,15,POC,Male,39.97297139,-75.15210458
nonlethal,25,White,Male,40.01039385,-75.09880823
nonlethal,15,POC,Male,39.97297139,-75.15210458
nonlethal,30,White,Male,39.99503841,-75.11614129
nonlethal,15,POC,Male,39.9755051,-75.16847594
nonlethal,25,POC,Male,39.9935082,-75.17159604
nonlethal,75,POC,Male,39.99067276,-75.15653273
nonlethal,20,POC,Male,39.9892883,-75.18401598
nonlethal,20,POC,Male,39.9953218,-75.11676874
nonlethal,30,POC,Male,39.99566093,-75.10502793
nonlethal,35,POC,Male,39.9936027,-75.12762577
nonlethal,35,White,Male,39.99251201,-75.13003607
nonlethal,5,POC,Female,39.99648377,-75.11745788
nonlethal,20,POC,Male,40.00052452,-75.10620557
lethal,25,White,Male,39.99872455,-75.11259138
nonlethal,20,White,Male,39.99872455,-75.11259138
nonlethal,18,POC,Male,40.00196507,-75.09663321
nonlethal,20,White,Male,39.99166238,-75.12395276
nonlethal,25,POC,Male,39.99009369,-75.11540662
lethal,25,White,Male,39.99549602,-75.12942995
nonlethal,35,White,Male,39.99544836,-75.12986663
lethal,35,POC,Male,39.99958562,-75.10583415
nonlethal,15,POC,Female,39.99664722,-75.09063333
nonlethal,30,POC,Male,39.9958362,-75.11564618
lethal,35,White,Male,39.99736107,-75.12748149
lethal,30,White,Male,39.99544836,-75.12986663
lethal,55,POC,Female,39.99545812,-75.11450985
lethal,45,White,Female,39.99014154,-75.12405564
nonlethal,35,White,Male,39.99555818,-75.11846589
nonlethal,30,POC,Male,40.00019065,-75.1071638
lethal,18,POC,Male,39.98748153,-75.1129219
nonlethal,45,POC,Male,39.98748153,-75.1129219
nonlethal,65,POC,Male,39.99520424,-75.10606282
nonlethal,20,White,Male,39.99407015,-75.11901566
nonlethal,30,White,Female,39.99544836,-75.12986663
lethal,30,White,Male,39.99407015,-75.11901566
lethal,20,White,Male,39.99371926,-75.12824517
nonlethal,45,White,Male,39.99371926,-75.12824517
nonlethal,45,POC,Male,39.99211036,-75.14021473
nonlethal,35,POC,Female,39.99371926,-75.12824517
nonlethal,35,POC,Male,39.99964482,-75.14626913
lethal,35,White,Male,40.00823504,-75.15044765
lethal,20,POC,Male,39.99054826,-75.12472112
lethal,35,POC,Male,40.00881349,-75.15062287
nonlethal,18,POC,Female,40.00539337,-75.15192012
nonlethal,35,White,Male,40.01730911,-75.13976438
lethal,45,POC,Male,40.0153793,-75.13642901
nonlethal,55,POC,Male,40.00200077,-75.14997522
nonlethal,35,POC,Male,40.00650571,-75.14566997
lethal,20,POC,Male,40.00650571,-75.14566997
lethal,30,POC,Male,40.0101983,-75.1497793
nonlethal,35,White,Male,40.01826295,-75.11160563
nonlethal,30,White,Male,40.01267925,-75.1376744
nonlethal,25,White,Male,40.01396075,-75.13917538
nonlethal,25,POC,Male,39.99767461,-75.1156594
nonlethal,25,POC,Male,40.00786761,-75.149511
nonlethal,45,POC,Male,39.99520704,-75.14865501
nonlethal,20,White,Male,40.00082052,-75.13306879
nonlethal,25,White,Male,40.00134869,-75.12860954
nonlethal,35,White,Male,40.02312398,-75.11780102
lethal,35,POC,Male,40.02249199,-75.11196566
nonlethal,18,POC,Male,40.0140116,-75.14051423
lethal,45,White,Male,40.00823504,-75.15044765
nonlethal,30,POC,Male,40.01862112,-75.13998696
nonlethal,25,POC,Male,40.0190644,-75.11647279
nonlethal,30,POC,Male,40.00974083,-75.14246074
nonlethal,20,POC,Male,39.99820458,-75.14497462
nonlethal,25,White,Male,40.01202106,-75.13620291
nonlethal,45,White,Male,40.00283224,-75.1293851
lethal,65,White,Male,40.00283224,-75.1293851
nonlethal,18,POC,Male,40.00188571,-75.15268758
nonlethal,35,White,Male,40.00539337,-75.15192012
lethal,18,POC,Male,40.0126198,-75.14081355
nonlethal,18,POC,Male,40.02093596,-75.12153445
nonlethal,45,POC,Male,40.0202755,-75.14007042
nonlethal,30,POC,Male,39.99305415,-75.13510969
nonlethal,35,POC,Male,40.00084938,-75.12608946
nonlethal,30,POC,Male,40.02390702,-75.11764941
nonlethal,30,POC,Male,40.01541925,-75.14973086
nonlethal,25,POC,Male,40.01855614,-75.1345079
lethal,25,White,Female,40.02477,-75.12491894
nonlethal,18,POC,Male,40.01396721,-75.14052451
nonlethal,65,POC,Male,39.99730804,-75.15365347
nonlethal,25,White,Male,40.02056955,-75.1162644
nonlethal,30,POC,Male,40.00898818,-75.13677702
nonlethal,55,POC,Male,40.00121216,-75.15283243
nonlethal,25,White,Male,40.01736398,-75.14939675
nonlethal,25,POC,Male,40.00723088,-75.14196684
nonlethal,15,White,Male,40.01593377,-75.14161989
nonlethal,20,White,Male,39.99883571,-75.12926935
nonlethal,35,POC,Male,40.00660359,-75.14311096
nonlethal,20,POC,Male,40.0019147,-75.13863363
nonlethal,18,POC,Male,40.01420598,-75.14047072
nonlethal,35,POC,Male,40.01713195,-75.13848221
lethal,55,POC,Male,39.99423274,-75.14733305
nonlethal,20,POC,Male,40.002655,-75.12377748
nonlethal,35,POC,Male,39.99904756,-75.12852505
nonlethal,30,POC,Male,39.99457263,-75.14567676
nonlethal,35,White,Female,39.99415127,-75.14650674
nonlethal,30,POC,Male,40.01228854,-75.13169739
nonlethal,35,POC,Male,39.99415127,-75.14650674
nonlethal,25,White,Male,40.00630731,-75.1396303
nonlethal,55,White,Male,40.00630731,-75.1396303
nonlethal,45,POC,Male,39.99688809,-75.15308677
lethal,20,POC,Male,40.00336568,-75.14209142
nonlethal,45,POC,Male,40.00714277,-75.14849597
lethal,20,POC,Male,40.01707643,-75.13859156
nonlethal,20,POC,Male,40.01707643,-75.13859156
nonlethal,15,POC,Male,40.00977712,-75.14143854
lethal,25,POC,Male,40.00155723,-75.12727903
nonlethal,30,POC,Male,40.01036779,-75.14746423
nonlethal,30,POC,Male,39.99945114,-75.14622353
lethal,35,POC,Male,40.01597619,-75.13933103
nonlethal,35,POC,Female,40.01597619,-75.13933103
nonlethal,45,POC,Male,39.99945114,-75.14622353
nonlethal,18,POC,Male,40.00539337,-75.15192012
nonlethal,20,POC,Male,40.00539337,-75.15192012
nonlethal,35,POC,Male,40.01501335,-75.14785636
lethal,30,POC,Male,39.99379946,-75.13440685
nonlethal,18,POC,Male,40.01655917,-75.14487212
lethal,45,POC,Male,40.01411496,-75.14469303
nonlethal,35,POC,Male,39.99387823,-75.15394084
lethal,20,POC,Male,40.01656285,-75.14890091
nonlethal,25,POC,Male,40.01410145,-75.14729378
nonlethal,25,POC,Male,40.00371624,-75.14979468
nonlethal,25,POC,Female,40.01109722,-75.14720768
nonlethal,25,White,Male,39.99959346,-75.11870674
lethal,18,White,Male,39.99652965,-75.13841838
nonlethal,30,POC,Male,40.02117708,-75.12436799
lethal,45,POC,Male,39.99387823,-75.15394084
nonlethal,45,White,Male,40.00251986,-75.12714847
nonlethal,35,POC,Male,40.01141564,-75.14267269
nonlethal,25,POC,Male,40.00985955,-75.14288344
nonlethal,30,POC,Male,40.00985955,-75.14288344
nonlethal,35,White,Male,40.00985955,-75.14288344
nonlethal,55,White,Male,40.0153616,-75.13042562
nonlethal,30,POC,Male,40.00985955,-75.14288344
nonlethal,20,POC,Male,40.00985955,-75.14288344
nonlethal,20,POC,Male,40.00985955,-75.14288344
nonlethal,25,White,Male,40.00064209,-75.13354657
nonlethal,20,POC,Male,39.99456278,-75.14696344
nonlethal,20,POC,Male,39.99456278,-75.14696344
nonlethal,35,POC,Male,40.02511189,-75.11954582
nonlethal,45,White,Male,40.00251986,-75.12714847
nonlethal,18,POC,Male,40.00015144,-75.11744033
lethal,45,POC,Female,40.00015144,-75.11744033
