shooting_type,age_group,race,sex,lat,lng
nonlethal,25,POC,Male,34.1111,-118.1958
nonlethal,30,POC,Male,34.0998,-118.3447
nonlethal,25,POC,Male,34.1194,-118.1967
nonlethal,35,POC,Male,34.1808,-118.4531
nonlethal,30,POC,Male,34.1016,-118.3317
nonlethal,20,POC,Male,34.1109,-118.2016
nonlethal,30,POC,Male,34.1007,-118.3494
nonlethal,20,POC,Male,34.0998,-118.33
nonlethal,20,POC,Male,34.0406,-118.3462
nonlethal,25,POC,Male,34.0944,-118.3125
lethal,20,POC,Male,34.203,-118.4662
nonlethal,25,POC,Male,33.8163,-118.3046
nonlethal,25,POC,Male,34.194,-118.4247
nonlethal,30,POC,Male,34.1778,-118.536
lethal,25,POC,Male,34.0605,-118.4193
nonlethal,20,POC,Male,33.7978,-118.2908
nonlethal,15,POC,Male,34.1428,-118.2275
nonlethal,25,POC,Male,34.0858,-118.2599
nonlethal,20,POC,Male,34.0516,-118.3762
nonlethal,20,POC,Male,34.0995,-118.3772
nonlethal,55,POC,Male,34.1189,-118.2031
nonlethal,30,POC,Male,34.1841,-118.4693
nonlethal,35,POC,Male,34.1866,-118.4749
nonlethal,20,POC,Male,33.7433,-118.2836
lethal,30,POC,Male,34.1015,-118.3417
nonlethal,45,POC,Male,33.7789,-118.282
nonlethal,25,POC,Male,34.0493,-118.3192
nonlethal,20,POC,Male,34.1775,-118.5337
nonlethal,45,POC,Male,34.1113,-118.334
nonlethal,35,POC,Male,33.741,-118.2838
nonlethal,45,White,Male,34.121,-118.2042
lethal,45,POC,Male,34.106,-118.2565
nonlethal,15,POC,Male,34.0422,-118.3765
nonlethal,25,POC,Male,34.1411,-118.4371
nonlethal,30,POC,Male,34.1857,-118.4465
nonlethal,30,POC,Male,33.746,-118.2835
nonlethal,25,POC,Male,34.0318,-118.3839
nonlethal,30,POC,Male,34.2031,-118.4726
nonlethal,20,POC,Male,34.0926,-118.2248
nonlethal,18,POC,Female,34.1194,-118.1967
nonlethal,18,POC,Male,34.1109,-118.2016
nonlethal,25,POC,Male,34.2067,-118.4313
nonlethal,25,POC,Male,34.0455,-118.3479
lethal,35,POC,Male,34.1114,-118.4245
nonlethal,30,POC,Male,33.8202,-118.3037
nonlethal,25,POC,Female,34.0926,-118.2248
nonlethal,35,POC,Male,34.1016,-118.3321
nonlethal,25,POC,Female,34.1032,-118.3387
lethal,30,POC,Male,34.1006,-118.3417
lethal,20,POC,Female,33.7846,-118.2692
nonlethal,35,POC,Male,34.158,-118.4487
lethal,45,POC,Male,33.7931,-118.2671
lethal,35,POC,Male,33.8214,-118.3037
nonlethal,30,POC,Male,34.1167,-118.2527
nonlethal,25,POC,Male,34.0956,-118.2918
nonlethal,25,POC,Male,33.7388,-118.2835
lethal,18,POC,Male,33.7894,-118.2458
nonlethal,30,POC,Male,34.0352,-118.3779
nonlethal,30,POC,Male,34.1239,-118.3393
nonlethal,30,POC,Female,33.7424,-118.2857
nonlethal,15,POC,Male,34.1151,-118.1955
nonlethal,30,POC,Female,33.8201,-118.3015
nonlethal,45,POC,Male,33.7315,-118.2805
nonlethal,25,POC,Female,34.1723,-118.5288
lethal,18,POC,Male,33.7927,-118.2435
lethal,35,POC,Male,34.1447,-118.5284
lethal,25,POC,Male,34.0458,-118.4522
nonlethal,25,POC,Male,34.128,-118.42
lethal,30,POC,Male,34.1194,-118.1889
nonlethal,35,POC,Male,34.0921,-118.2105
lethal,35,POC,Male,34.203,-118.4662
nonlethal,30,POC,Male,34.0913,-118.2091
nonlethal,15,POC,Female,34.0871,-118.3136
lethal,20,POC,Male,33.7433,-118.2836
nonlethal,15,POC,Female,34.1182,-118.1902
nonlethal,25,POC,Male,33.7748,-118.2778
nonlethal,20,POC,Male,34.1976,-118.4651
nonlethal,20,POC,Male,34.1334,-118.2725
nonlethal,25,POC,Male,33.7977,-118.2898
lethal,20,White,Male,34.2157,-118.5176
nonlethal,35,POC,Male,33.8163,-118.3046
nonlethal,45,POC,Male,34.044,-118.3415
nonlethal,30,POC,Male,34.0998,-118.3447
nonlethal,35,POC,Male,33.7908,-118.2845
nonlethal,25,POC,Male,33.7846,-118.2692
nonlethal,30,POC,Male,34.0927,-118.2291
nonlethal,35,POC,Male,34.0399,-118.3248
nonlethal,30,POC,Female,34.0835,-118.3046
